,race__race_name,start_lap,end_lap,reason,comment
303,Verizon 200 at the Brickyard,42,43,Debris,Debris Turn 6
304,Verizon 200 at the Brickyard,74,76,Debris,Debris Turn 6
305,Verizon 200 at the Brickyard,79,88,Accident,"#15, 18, 20, 22, 24, 37, 42, 77, 99 Incident Turn 6 [Red Flag: 00:19:14]"
306,Verizon 200 at the Brickyard,90,93,Accident,"#3, 7, 8, 19, 34, 41, 48 Incident Turn 6 [Red Flag: 00:04:08]"
307,Food City Dirt Race,42,45,Accident,"#10, 7, 38, 77, 78 Incident Backstretch [Red Flag: 00:06:30]"
308,Food City Dirt Race,49,50,Accident,"#6, 24, 4, 14 Incident Backstretch / Competition "
309,Food City Dirt Race,54,59,Accident,"#5, 20, 4, 42, 14, 47 Incident Turn 2"
310,Food City Dirt Race,101,101,Competition,Stage 1 Conclusion
311,Food City Dirt Race,151,151,Competition,Competition
312,Food City Dirt Race,154,158,Accident,"#00, 3, 5, 12, 18, 34, 37, 48, 51, 53 Incident Frontstretch"
313,Food City Dirt Race,161,169,Accident,"#2, 14 Incident Frontstretch"
314,Food City Dirt Race,187,191,Accident,"#51, 53 Incident Turn 3"
315,Food City Dirt Race,201,201,Competition,Stage 2 Conclusion
316,Food City Dirt Race,247,251,Spin,#66 Spin Frontstretch
317,Beef. It's What's For Dinner. 300,5,7,Spin,#36 Spin Turn 4
318,Beef. It's What's For Dinner. 300,12,14,Unknown,#92 Stopped On Track
319,Beef. It's What's For Dinner. 300,21,23,Accident,#92 Incident Turn 4
320,Beef. It's What's For Dinner. 300,32,36,Competition,Stage 1 Conclusion
321,Beef. It's What's For Dinner. 300,62,65,Accident,"#19, 36, 17, 2 Incident Frontstretch / Stage 2 Conclusion [Red: 00:13:47]"
322,Beef. It's What's For Dinner. 300,76,83,Accident,"#1, 6, 9, 0, 13, 39, 74, 52, 15 Incident Frontstretch"
323,Beef. It's What's For Dinner. 300,101,103,Accident,"#90, 47 Incident Frontstretch"
324,Beef. It's What's For Dinner. 300,106,112,Accident,"#54, 18, 7, 98, 11, 10, 68, 66, 23, 13, 8, 48, 51, 61 Incident Turn 3 "
325,Beef. It's What's For Dinner. 300,115,120,Accident,"#4, 10,  44 Incident Frontstretch"
326,Sparks 300 at Talladega,26,30,Accident,#8 and 16 Incident in Turn 3
327,Sparks 300 at Talladega,52,54,Competition,Stage 2 Conclusion [Red Flag: 5:38]
328,Sparks 300 at Talladega,76,79,Unknown,#15 Stalled on Pit Road
329,Sparks 300 at Talladega,90,93,Accident,"#02, 2, 9, 10, 19, 26, 90 Incident in Turn 3 [Red Flag: 15:20]"
330,Sparks 300 at Talladega,103,107,Spin,"#02, 20, 31, 36, 54, 92, 98 Spin in Turn 4"
331,Ag-Pro 300,86,90,Accident,"#07, 1, 19, 26, 28, 54, 90 Incident Backstretch/Weather"
332,Ambetter Get Vaccinated 200,22,25,Competition,Competition Caution
333,Ambetter Get Vaccinated 200,27,30,Accident,"#02, 8, 19, 98 Incident on the frontstretch"
334,Ambetter Get Vaccinated 200,46,52,Competition,Stage 1 Conclusion
335,Ambetter Get Vaccinated 200,92,98,Competition,Stage 2 Conclusion
336,Ambetter Get Vaccinated 200,150,155,Accident,#23 Incident in Turn 4
337,Buschy McBusch Race 400,27,30,Competition,Competition
338,Buschy McBusch Race 400,82,87,Competition,Stage 1 Conclusion
339,Buschy McBusch Race 400,162,167,Competition,Stage 2 Conclusion
340,Buschy McBusch Race 400,231,235,Debris,Debris Frontstretch
341,Buschy McBusch Race 400,246,249,Accident,#11 Incident Turn 1
342,Buschy McBusch Race 400,254,257,Accident,"#33, 47 Incident Backstretch"
343,Buschy McBusch Race 400,259,265,Accident,"#20, 37, 47 Incident Turn 4"
344,FireKeepers Casino 400,22,25,Competition,Competition
345,FireKeepers Casino 400,32,35,Accident,#15 Incident Turn 2
346,FireKeepers Casino 400,62,66,Competition,Stage 1 Conclusion
